"R_region","R_age","R_edu","R_income","R_health","R_height","R_happy","A_height","A_edu","A_income"
"Northeast",36,"Junior college",500,"Not good",166,"Not too happy",173,"Junior college",600
"Northeast",61,"Never attended school",600,"Excellent",159,"Somewhat happy",170,"Junior college",800
"Northeast",54,"Junior college",1000,"Excellent",154,"Somewhat happy",176,"University",1000
"Northeast",45,"Junior college",1000,"Fair",162,"Somewhat happy",180,"University",1000
"Northeast",36,"Senior high school",90,"Fair",163,"Somewhat happy",169,"Junior high school",90
"Northeast",39,"Junior college",400,"Good",158,"Somewhat happy",180,"Junior high school",500
"Northeast",46,"Junior high school",100,"Good",150,"Somewhat happy",174,"Junior high school",200
"Northeast",46,"Junior high school",100,"Fair",164,"Somewhat happy",176,"Senior high school",300
"Northeast",39,"Junior high school",200,"Fair",150,"Somewhat happy",170,"Junior high school",1000
"Northeast",44,"Junior high school",300,"Not good",158,"Somewhat happy",170,"Senior high school",1000
"Northeast",45,"Junior high school",0,"Not good",168,"Not too happy",170,"Senior high school",300
"Northeast",40,"Junior high school",40,"Good",150,"Somewhat happy",168,"Junior high school",500
"Northeast",40,"Junior college",700,"Not good",161,"Somewhat happy",170,"Junior college",800
"Northeast",34,"Senior high school",0,"Not good",161,"Very unhappy",174,"Junior college",700
"Northeast",37,"Senior high school",200,"Not good",156,"Not too happy",170,"Junior high school",300
"Northeast",45,"Junior high school",0,"Fair",162,"Not too happy",180,"Senior high school",500
"Northeast",41,"Junior college",400,"Fair",158,"Somewhat happy",169,"Senior high school",500
"Northeast",61,"Elementary school",300,"Fair",162,"Somewhat happy",170,"Elementary school",600
"Northeast",30,"Junior college",300,"Excellent",163,"Somewhat happy",178,"Junior college",600
"Northeast",25,"Senior high school",0,"Fair",170,"Very happy",174,"Junior high school",500
"Northeast",40,"Junior high school",0,"Not good",159,"Somewhat happy",170,"Junior high school",700
"Northeast",45,"Junior high school",400,"Fair",164,"Very happy",183,"Junior high school",500
"Northeast",39,"Junior high school",1000,"Fair",156,"Somewhat happy",172,"Junior high school",300
"Northeast",27,"Junior high school",0,"Fair",156,"Not too happy",170,"Junior high school",0
"Northeast",50,"Junior high school",500,"Good",168,"Somewhat happy",180,"Junior high school",800
"Northeast",43,"Junior high school",400,"Excellent",152,"Somewhat happy",164,"Junior high school",400
"Northeast",35,"Junior high school",300,"Good",162,"Somewhat happy",176,"Junior high school",0
"Northeast",37,"Senior high school",500,"Good",160,"Somewhat happy",171,"Junior high school",500
"Northeast",44,"Junior high school",900,"Good",155,"Somewhat happy",168,"Junior high school",500
"Northeast",39,"Junior high school",200,"Good",158,"Somewhat happy",169,"Junior high school",500
"Northeast",29,"Junior high school",800,"Good",162,"Somewhat happy",180,"Junior high school",200
"Northeast",34,"Senior high school",600,"Excellent",162,"Somewhat happy",174,"Senior high school",500
"Northeast",39,"Senior high school",300,"Excellent",160,"Very happy",170,"Senior high school",300
"Northeast",45,"Senior high school",100,"Poor",168,"Very happy",180,"Junior high school",800
"Northeast",44,"Junior high school",2000,"Not good",158,"Somewhat happy",179,"Junior college",400
"Northeast",32,"Junior high school",200,"Not good",170,"Somewhat happy",170,"Junior high school",2000
"Northeast",43,"Junior high school",0,"Good",163,"Somewhat happy",173,"Junior high school",4000
"Northeast",58,"Junior high school",800,"Excellent",150,"Very happy",175,"Senior high school",1000
"Northeast",48,"Senior high school",0,"Excellent",156,"Very happy",165,"Senior high school",1000
"Northeast",45,"Senior high school",500,"Excellent",158,"Somewhat happy",173,"Junior high school",400
"Northeast",50,"Elementary school",300,"Not good",160,"Not too happy",175,"Junior high school",900
"Northeast",24,"Senior high school",30,"Fair",162,"Not too happy",170,"Junior high school",700
"Northeast",47,"Junior high school",600,"Fair",168,"Somewhat happy",176,"Senior high school",900
"Northeast",26,"Junior college",200,"Good",158,"Somewhat happy",175,"Junior college",800
"Northeast",31,"Senior high school",500,"Excellent",170,"Somewhat happy",190,"Junior college",900
"Northeast",43,"Junior high school",600,"Excellent",162,"Very happy",172,"Junior high school",1000
"Northeast",27,"Junior high school",600,"Excellent",163,"Very happy",175,"Junior high school",2000
"Northeast",27,"Senior high school",500,"Fair",160,"Somewhat happy",172,"Senior high school",500
"Northeast",33,"Senior high school",500,"Excellent",160,"Very happy",170,"Senior high school",1000
"Northeast",21,"Junior high school",400,"Fair",160,"Very happy",174,"Junior high school",600
"Northeast",35,"Junior high school",1000,"Not good",150,"Somewhat happy",162,"Junior high school",0
"Northeast",45,"Junior high school",300,"Good",152,"Not too happy",163,"Junior high school",500
"Northeast",53,"Junior high school",1000,"Good",160,"Somewhat happy",168,"Senior high school",1000
"Northeast",39,"Junior high school",300,"Fair",163,"Somewhat happy",160,"Junior high school",200
"Northeast",45,"Senior high school",500,"Good",160,"Somewhat happy",186,"Senior high school",500
"Northeast",35,"Junior high school",300,"Fair",164,"Not too happy",180,"Elementary school",800
"Northeast",50,"Junior high school",700,"Fair",154,"Somewhat happy",168,"Junior high school",400
"Northeast",44,"Senior high school",1000,"Good",168,"Very happy",178,"University",1000
"Northeast",34,"Junior high school",0,"Not good",158,"Not too happy",180,"Junior high school",1000
"Northeast",47,"Never attended school",100,"Fair",166,"Somewhat happy",167,"Junior college",800
"Northeast",45,"Junior college",1000,"Good",156,"Not too happy",170,"Senior high school",1000
"Northeast",26,"Senior high school",400,"Good",172,"Somewhat happy",182,"Senior high school",3000
"Northeast",35,"Senior high school",400,"Excellent",168,"Not too happy",175,"Junior high school",800
"Northeast",21,"Senior high school",200,"Excellent",158,"Very happy",172,"Senior high school",600
"Northeast",46,"Junior high school",0,"Fair",156,"Somewhat happy",169,"Junior high school",1000
"Northeast",27,"Elementary school",0,"Not good",150,"Very unhappy",170,"Elementary school",1000
"Northeast",42,"Junior college",600,"Not good",156,"Somewhat happy",171,"Junior high school",300
"Northeast",43,"Senior high school",700,"Good",172,"Not too happy",174,"Senior high school",0
"Northeast",37,"Junior high school",0,"Not good",168,"Not too happy",178,"Junior high school",1000
"Northeast",26,"Junior high school",0,"Excellent",162,"Somewhat happy",167,"Junior high school",3000
"Northeast",21,"Senior high school",300,"Good",160,"Somewhat happy",174,"Senior high school",400
"Northeast",26,"Senior high school",300,"Good",160,"Not too happy",172,"Junior high school",2000
"Northeast",34,"Junior college",900,"Good",165,"Somewhat happy",175,"Junior college",600
"Northeast",26,"Junior high school",500,"Fair",167,"Somewhat happy",180,"Junior high school",1000
"Northeast",32,"Senior high school",500,"Excellent",145,"Somewhat happy",170,"Junior high school",500
"Northeast",57,"Elementary school",0,"Good",155,"Very happy",172,"Senior high school",600
"Northeast",30,"Junior high school",800,"Good",159,"Very happy",172,"Senior high school",1000
"Northeast",27,"Junior high school",500,"Fair",150,"Not too happy",168,"Senior high school",800
"Northeast",64,"Junior high school",200,"Good",159,"Somewhat happy",179,"Senior high school",700
"Northeast",41,"Junior high school",0,"Excellent",161,"Very happy",172,"Junior high school",4000
"Northeast",39,"Junior high school",0,"Good",161,"Somewhat happy",178,"Junior high school",2000
"Northeast",32,"Junior high school",2000,"Good",160,"Somewhat happy",173,"Junior high school",2000
"Northeast",49,"Junior high school",600,"Excellent",158,"Somewhat happy",165,"Senior high school",700
"Northeast",37,"Junior high school",300,"Good",159,"Somewhat happy",165,"Junior high school",600
"Northeast",27,"Senior high school",400,"Good",170,"Somewhat happy",180,"Senior high school",800
"Northeast",32,"Senior high school",0,"Fair",162,"Somewhat happy",173,"Senior high school",1000
"Northeast",36,"Junior college",0,"Excellent",158,"Not too happy",172,"Senior high school",1000
"Northeast",41,"Junior high school",2000,"Excellent",162,"Very happy",165,"Junior high school",1000
"Northeast",56,"Senior high school",0,"Not good",160,"Not too happy",172,"Junior high school",700
"Northeast",36,"Junior high school",0,"Not good",162,"Not too happy",175,"Senior high school",800
"Northeast",42,"Elementary school",2000,"Not good",163,"Somewhat happy",162,"Junior high school",1000
"Northeast",48,"Elementary school",500,"Good",162,"Very happy",174,"Junior high school",800
"Northeast",52,"Junior high school",0,"Good",158,"Somewhat happy",163,"Elementary school",80
"Northeast",51,"Junior college",900,"Excellent",162,"Very happy",175,"Junior college",900
"Northeast",48,"Junior high school",400,"Not good",164,"Not too happy",172,"Junior high school",500
"Northeast",33,"Junior high school",500,"Good",158,"Very happy",168,"Junior high school",400
"Northeast",31,"University",800,"Excellent",172,"Somewhat happy",178,"Junior high school",0
"Northeast",56,"Senior high school",700,"Good",156,"Somewhat happy",172,"Junior college",800
"Northeast",45,"Junior high school",200,"Fair",150,"Somewhat happy",165,"Junior high school",400
"Northeast",46,"Junior high school",200,"Fair",166,"Somewhat happy",173,"Junior high school",200
"Northeast",42,"Junior high school",200,"Fair",167,"Somewhat happy",173,"Senior high school",300
"Northeast",52,"Junior high school",300,"Not good",158,"Somewhat happy",172,"Junior high school",300
"Northeast",36,"Junior high school",100,"Fair",162,"Somewhat happy",162,"Junior high school",200
"Northeast",38,"Junior high school",500,"Fair",167,"Somewhat happy",170,"Junior high school",500
"Northeast",38,"Junior high school",1000,"Fair",150,"Somewhat happy",160,"Senior high school",300
"Northeast",45,"Junior high school",2000,"Excellent",154,"Somewhat happy",170,"Junior high school",3000
"Northeast",27,"Junior high school",400,"Fair",164,"Somewhat happy",173,"Junior high school",800
"Northeast",27,"Senior high school",0,"Fair",162,"Somewhat happy",170,"Junior high school",1000
"Northeast",36,"Junior high school",300,"Fair",166,"Somewhat happy",181,"Junior high school",300
"Northeast",44,"Junior high school",200,"Not good",164,"Not too happy",174,"Elementary school",300
"Northeast",44,"Senior high school",300,"Good",159,"Somewhat happy",163,"Elementary school",400
"Northeast",45,"Junior college",0,"Fair",160,"Not too happy",172,"Senior high school",500
"Northeast",36,"Junior high school",100,"Not good",164,"Somewhat happy",173,"Senior high school",300
"Northeast",35,"Senior high school",400,"Good",156,"Somewhat happy",168,"Junior high school",600
"Northeast",55,"Senior high school",400,"Fair",160,"Very unhappy",170,"Junior college",500
"Northeast",45,"Junior high school",400,"Good",164,"Somewhat happy",174,"Junior high school",100
"Northeast",58,"Elementary school",200,"Not good",158,"Very unhappy",168,"Elementary school",200
"Northeast",27,"Senior high school",600,"Good",168,"Very happy",172,"Junior college",800
"Northeast",34,"Junior high school",300,"Good",162,"Not too happy",175,"Senior high school",400
"Northeast",45,"Junior college",800,"Fair",156,"Somewhat happy",173,"Senior high school",600
"Northeast",52,"Senior high school",300,"Not good",160,"Not too happy",175,"Elementary school",200
"Northeast",29,"Senior high school",200,"Good",158,"Somewhat happy",173,"University",400
"Northeast",26,"Senior high school",50,"Good",158,"Somewhat happy",168,"Junior high school",500
"Northeast",39,"Junior high school",50,"Good",160,"Somewhat happy",170,"Junior high school",200
"Northeast",21,"Senior high school",0,"Good",167,"Somewhat happy",173,"Junior high school",800
"Northeast",26,"Senior high school",0,"Excellent",158,"Very happy",179,"Senior high school",3000
"Northeast",28,"Junior high school",400,"Good",162,"Very happy",174,"Junior high school",400
"Northeast",49,"Elementary school",200,"Fair",164,"Somewhat happy",175,"Elementary school",300
"Northeast",43,"Junior high school",0,"Fair",158,"Not too happy",172,"Junior high school",500
"Northeast",36,"Junior high school",400,"Fair",155,"Not too happy",170,"Junior high school",100
"Northeast",44,"Junior college",1000,"Good",168,"Somewhat happy",176,"Senior high school",500
"Northeast",40,"Junior high school",0,"Fair",158,"Somewhat happy",173,"Junior high school",500
"Northeast",40,"Junior high school",1000,"Good",166,"Somewhat happy",177,"Junior high school",0
"Northeast",39,"Junior high school",500,"Good",159,"Not too happy",176,"Junior high school",500
"Northeast",28,"Junior high school",60,"Fair",158,"Somewhat happy",170,"Junior high school",400
"Northeast",44,"Junior high school",300,"Fair",160,"Somewhat happy",173,"Junior high school",600
"Northeast",46,"Senior high school",600,"Good",168,"Very happy",178,"Junior high school",600
"Northeast",45,"Elementary school",300,"Fair",156,"Somewhat happy",175,"Junior high school",300
"Northeast",39,"Junior high school",200,"Fair",164,"Somewhat happy",168,"Junior high school",400
"Northeast",39,"Elementary school",100,"Poor",172,"Very unhappy",176,"Junior high school",0
"Northeast",40,"Junior high school",300,"Fair",166,"Somewhat happy",172,"Junior high school",600
"Northeast",38,"Junior high school",3000,"Fair",164,"Somewhat happy",170,"Senior high school",500
"North",39,"Junior high school",400,"Good",168,"Somewhat happy",165,"Junior high school",700
"North",61,"Senior high school",500,"Fair",160,"Very unhappy",178,"Junior college",900
"North",57,"Junior high school",300,"Excellent",155,"Very happy",173,"Senior high school",800
"North",34,"Senior high school",500,"Not good",158,"Somewhat happy",170,"Junior high school",600
"North",51,"Junior high school",700,"Fair",157,"Somewhat happy",175,"Senior high school",800
"North",52,"University",1000,"Fair",158,"Not too happy",174,"University",2000
"North",57,"Senior high school",700,"Fair",167,"Somewhat happy",173,"Junior college",1000
"North",58,"Junior college",1000,"Fair",159,"Somewhat happy",180,"Senior high school",1000
"North",32,"University",400,"Good",155,"Somewhat happy",170,"University",700
"North",26,"Senior high school",500,"Fair",158,"Very happy",170,"Senior high school",500
"North",40,"Junior high school",600,"Fair",158,"Somewhat happy",175,"Junior high school",700
"North",37,"Senior high school",400,"Good",153,"Somewhat happy",171,"Senior high school",1000
"North",36,"Senior high school",200,"Good",170,"Somewhat happy",175,"Senior high school",600
"North",40,"Senior high school",400,"Excellent",154,"Somewhat happy",172,"Senior high school",700
"North",37,"Senior high school",400,"Fair",162,"Somewhat happy",172,"Senior high school",700
"North",45,"Junior high school",800,"Fair",158,"Somewhat happy",178,"Junior high school",800
"North",29,"Senior high school",500,"Fair",162,"Somewhat happy",173,"Senior high school",600
"North",40,"Senior high school",200,"Fair",158,"Very happy",173,"Senior high school",700
"North",52,"Junior high school",300,"Excellent",165,"Very happy",163,"Junior high school",500
"North",34,"Junior college",700,"Excellent",164,"Very happy",181,"Senior high school",1000
"North",41,"Junior college",400,"Fair",157,"Somewhat happy",165,"Junior high school",700
"North",32,"Senior high school",1000,"Good",164,"Somewhat happy",172,"Junior college",1000
"North",42,"Junior high school",0,"Good",160,"Somewhat happy",170,"Junior high school",700
"North",48,"Junior high school",600,"Fair",154,"Somewhat happy",173,"Junior high school",700
"North",42,"Junior college",1000,"Good",159,"Somewhat happy",168,"University",1000
"North",29,"Senior high school",400,"Good",160,"Somewhat happy",180,"Junior college",1000
"North",28,"Junior high school",400,"Good",170,"Somewhat happy",177,"Junior high school",500
"North",32,"Junior high school",600,"Good",156,"Somewhat happy",175,"Junior high school",600
"North",56,"Never attended school",0,"Not good",156,"Somewhat happy",163,NA,500
"North",42,"Elementary school",700,"Good",152,"Somewhat happy",165,"Elementary school",900
"North",26,"Junior high school",3000,"Good",156,"Somewhat happy",172,"Senior high school",3000
"North",33,"Junior high school",500,"Fair",151,"Somewhat happy",165,"Junior high school",600
"North",48,"Never attended school",200,"Fair",155,"Very happy",169,"Elementary school",400
"North",48,"Elementary school",300,"Excellent",164,"Somewhat happy",177,"University",1000
"North",40,"Junior high school",500,"Excellent",158,"Somewhat happy",164,"Junior high school",700
"North",34,"Junior college",600,"Good",162,"Somewhat happy",174,"Senior high school",700
"North",52,"Elementary school",0,"Not good",165,"Not too happy",172,"Junior high school",700
"North",45,"Elementary school",200,"Fair",156,"Somewhat happy",170,"Elementary school",700
"North",29,"Junior high school",300,"Excellent",159,"Very happy",170,"Junior high school",600
"North",34,"Senior high school",400,"Fair",160,"Somewhat happy",170,"Senior high school",500
"North",50,"Elementary school",0,"Not good",157,"Not too happy",170,"Elementary school",500
"North",49,"Never attended school",0,"Fair",157,"Somewhat happy",170,"Elementary school",500
"North",46,"Elementary school",100,"Good",156,"Very happy",165,"Elementary school",400
"North",54,"Junior high school",0,"Not good",152,"Not too happy",160,"Junior high school",0
"North",30,"Elementary school",0,"Good",163,"Somewhat happy",160,"Senior high school",500
"North",55,"Senior high school",50,"Fair",150,"Somewhat happy",165,"Junior college",700
"North",42,"Elementary school",300,"Good",156,"Somewhat happy",170,"Elementary school",300
"North",28,"Junior high school",400,"Fair",150,"Somewhat happy",165,"Senior high school",700
"North",44,"Elementary school",0,"Excellent",162,"Very happy",174,"Junior high school",700
"North",29,"Elementary school",0,"Excellent",157,"Very happy",165,"Junior high school",0
"North",32,"Junior high school",200,"Fair",156,"Somewhat happy",175,"Junior high school",200
"North",32,"Junior college",1000,"Not good",160,"Somewhat happy",174,"Junior college",2000
"North",35,"Junior high school",300,"Fair",158,"Somewhat happy",168,"Elementary school",300
"North",47,"Never attended school",200,"Not good",150,"Not too happy",161,"Elementary school",200
"North",35,"Elementary school",30,"Not good",169,"Somewhat happy",170,"Elementary school",30
"North",41,"Junior high school",100,"Good",162,"Somewhat happy",165,"Elementary school",100
"North",36,"Elementary school",60,"Good",157,"Somewhat happy",160,"Junior high school",60
"North",42,"Senior high school",30,"Good",158,"Somewhat happy",160,"Senior high school",30
"North",44,"Never attended school",200,"Excellent",165,"Not too happy",177,"Junior high school",200
"North",56,"Elementary school",600,"Good",162,"Somewhat happy",172,"Elementary school",600
"North",26,"Senior high school",200,"Good",155,"Somewhat happy",160,"Elementary school",200
"North",39,"Never attended school",100,"Fair",160,"Not too happy",175,"Senior high school",100
"North",36,"Senior high school",400,"Excellent",166,"Very happy",170,"Junior high school",800
"North",44,"Elementary school",200,"Fair",162,"Somewhat happy",168,"Senior high school",200
"North",48,"Elementary school",100,"Good",165,"Somewhat happy",178,"Junior high school",100
"North",46,"Elementary school",200,"Not good",158,"Somewhat happy",180,"Elementary school",200
"North",45,"Elementary school",80,"Poor",150,"Very unhappy",170,"Elementary school",80
"North",25,"Elementary school",200,"Fair",147,"Not too happy",170,"Junior high school",200
"North",51,"Elementary school",300,"Fair",156,"Not too happy",178,"Senior high school",300
"North",41,"Never attended school",40,"Fair",162,"Somewhat happy",165,"Junior high school",40
"North",25,"Junior high school",100,"Excellent",167,"Somewhat happy",167,"Junior high school",100
"North",40,"Junior high school",600,"Good",158,"Not too happy",170,"Senior high school",600
"North",39,"Junior high school",100,"Good",170,"Very happy",170,"Junior high school",100
"North",45,"Junior high school",200,"Excellent",150,"Somewhat happy",160,"Elementary school",200
"North",37,"Junior high school",200,"Good",153,"Very happy",175,"Junior high school",200
"North",41,"Senior high school",100,"Poor",159,"Not too happy",175,"Junior high school",100
"North",39,"Elementary school",500,"Fair",150,"Very happy",165,"Junior high school",500
"North",30,"Elementary school",300,"Good",167,"Somewhat happy",169,"Junior high school",300
"North",50,"Never attended school",400,"Good",158,"Somewhat happy",167,"Senior high school",400
"North",60,"Elementary school",100,"Fair",160,"Somewhat happy",175,"Never attended school",100
"North",35,"Junior high school",300,"Good",165,"Somewhat happy",165,"Junior high school",300
"North",47,"Junior high school",400,"Good",154,"Somewhat happy",178,"Junior high school",900
"North",44,"Elementary school",300,"Not good",160,"Somewhat happy",160,"Junior high school",900
"North",32,"Junior college",1000,"Not good",160,"Somewhat happy",174,"Junior college",2000
"North",27,"Senior high school",900,"Good",160,"Somewhat happy",170,"Junior college",1000
"North",49,"Junior high school",800,"Not good",163,"Not too happy",170,"Junior high school",800
"North",28,"University",1000,"Fair",155,"Somewhat happy",172,"University",1000
"North",47,"Junior high school",700,"Fair",162,"Not too happy",178,"Elementary school",800
"North",25,"Junior college",400,"Good",157,"Somewhat happy",170,"Senior high school",1000
"North",42,"Elementary school",800,"Fair",156,"Not too happy",172,"Senior high school",900
"North",31,"University",800,"Good",150,"Not too happy",172,"Senior high school",2000
"North",50,"Senior high school",900,"Fair",158,"Somewhat happy",162,"Junior high school",1000
"North",42,"Junior high school",800,"Excellent",155,"Somewhat happy",165,"Junior high school",200
"North",37,"University",1000,"Not good",163,"Somewhat happy",172,"Junior college",1000
"North",30,"Senior high school",700,"Fair",162,"Somewhat happy",169,"Senior high school",1000
"North",51,"Elementary school",0,"Fair",156,"Very happy",166,"Elementary school",700
"North",30,"Junior college",600,"Poor",156,"Not too happy",170,"Senior high school",800
"North",31,"Junior high school",400,"Excellent",158,"Very happy",168,"Junior high school",1000
"North",31,"Junior high school",600,"Fair",165,"Somewhat happy",168,"Junior high school",900
"North",52,"Junior high school",900,"Fair",164,"Somewhat happy",178,"Senior high school",1000
"North",29,"Junior college",1000,"Good",164,"Somewhat happy",176,"Senior high school",1000
"North",56,"Junior high school",700,"Good",160,"Very happy",176,"Junior high school",1000
"North",34,"Senior high school",600,"Good",160,"Somewhat happy",176,"Junior college",800
"North",53,"Senior high school",500,"Fair",165,"Very happy",171,"Elementary school",700
"North",53,"Junior high school",200,"Fair",162,"Somewhat happy",160,"Junior high school",1000
"North",27,"Senior high school",300,"Fair",155,"Somewhat happy",170,"Senior high school",1000
"North",46,"Elementary school",400,"Fair",156,"Somewhat happy",168,"Elementary school",1000
"North",27,"Junior college",500,"Good",163,"Somewhat happy",173,"Senior high school",2000
"North",31,"University",1000,"Fair",158,"Somewhat happy",164,"University",1000
"North",41,"Senior high school",0,"Not good",154,"Somewhat happy",164,"Junior high school",700
"North",45,"Elementary school",0,"Fair",164,"Very happy",173,"Senior high school",800
"North",34,"Senior high school",800,"Good",158,"Somewhat happy",178,"Junior high school",900
"North",26,"Senior high school",500,"Fair",157,"Somewhat happy",170,"Senior high school",1000
"North",31,"Senior high school",800,"Good",160,"Somewhat happy",172,"University",1000
"North",37,"Senior high school",900,"Good",155,"Very happy",170,"Junior high school",1000
"North",37,"Senior high school",1000,"Good",163,"Somewhat happy",178,"Senior high school",1000
"North",27,"Senior high school",600,"Fair",160,"Somewhat happy",178,"Senior high school",1000
"North",29,"Senior high school",500,"Fair",161,"Somewhat happy",176,"Senior high school",1000
"North",29,"Junior college",1000,"Excellent",155,"Somewhat happy",172,"Junior high school",1000
"North",31,"Junior college",700,"Good",158,"Somewhat happy",172,"Senior high school",800
"North",30,"Junior high school",400,"Good",160,"Not too happy",170,"Junior high school",500
"North",37,"Junior high school",400,"Good",156,"Somewhat happy",174,"Senior high school",500
"North",47,"Junior high school",600,"Good",158,"Somewhat happy",170,"Junior high school",700
"North",56,"Senior high school",900,"Excellent",156,"Somewhat happy",170,"Elementary school",900
"North",37,"Junior high school",400,"Fair",164,"Somewhat happy",178,"Senior high school",700
"North",24,"Junior high school",500,"Excellent",160,"Very happy",173,"Senior high school",1000
"North",35,"Senior high school",800,"Excellent",160,"Somewhat happy",176,"Junior high school",1000
"North",35,"Never attended school",100,"Excellent",160,"Very happy",170,"Never attended school",100
"North",23,"Senior high school",700,"Good",166,"Very happy",170,"Junior high school",1000
"North",36,"Junior college",800,"Good",162,"Somewhat happy",175,"Senior high school",1000
"North",36,"Junior high school",1000,"Fair",156,"Somewhat happy",173,"Junior high school",1000
"North",60,"University",1000,"Fair",150,"Somewhat happy",168,"Junior college",1000
"North",28,"Senior high school",500,"Excellent",156,"Somewhat happy",183,"Senior high school",400
"North",59,"Never attended school",200,"Good",160,"Somewhat happy",168,"Elementary school",1000
"North",41,"Junior high school",1000,"Good",154,"Somewhat happy",170,"Junior college",1000
"North",33,"Junior high school",600,"Good",168,"Somewhat happy",169,"Junior high school",1000
"North",33,"Senior high school",500,"Good",160,"Somewhat happy",170,"Senior high school",2000
"North",29,"Senior high school",800,"Fair",165,"Somewhat happy",179,"Senior high school",500
"North",27,"Junior college",500,"Good",165,"Somewhat happy",176,"Senior high school",1000
"North",61,"Never attended school",200,"Fair",155,"Very happy",174,"Never attended school",2000
"North",30,"Junior high school",800,"Good",158,"Somewhat happy",162,"Junior high school",800
"North",57,"Junior high school",800,"Fair",161,"Somewhat happy",174,"Junior high school",1000
"Central West",39,"Junior high school",80,"Good",170,"Very happy",170,"Senior high school",80
"Central West",42,"Never attended school",20,"Good",156,"Somewhat happy",178,"Junior high school",20
"Central West",49,"Never attended school",30,"Good",160,"Somewhat happy",170,"Never attended school",30
"Central West",33,"Elementary school",60,"Good",150,"Not too happy",167,"Senior high school",200
"Central West",30,"Never attended school",30,"Excellent",155,"Somewhat happy",170,"Elementary school",30
"Central West",46,"Never attended school",100,"Good",160,"Not too happy",165,"Elementary school",0
"Central West",34,"Elementary school",10,"Not good",156,"Not too happy",170,"Elementary school",10
"Central West",33,"Never attended school",100,"Good",160,"Somewhat happy",165,"Senior high school",100
"Central West",30,"Junior high school",10,"Fair",159,"Not too happy",168,"Junior high school",10
"Central West",30,"Never attended school",100,"Good",155,"Somewhat happy",170,"Never attended school",100
"Central West",60,"Never attended school",0,"Not good",150,"Not too happy",170,"Never attended school",0
"Central West",26,"Elementary school",200,"Excellent",150,"Not too happy",170,"Elementary school",200
"Central West",59,"Never attended school",200,"Fair",158,"Somewhat happy",162,"Junior high school",200
"Central West",61,"Never attended school",60,"Good",157,"Somewhat happy",157,"Junior high school",60
"Central West",28,"Junior high school",80,"Good",158,"Somewhat happy",170,"Junior high school",80
"Central West",35,"Junior high school",70,"Good",154,"Somewhat happy",170,"Senior high school",70
"Central West",26,"Elementary school",40,"Excellent",165,"Very happy",173,"Senior high school",40
"Central West",35,"Junior high school",100,"Excellent",154,"Very happy",170,"Elementary school",100
"Central West",36,"Elementary school",60,"Excellent",160,"Somewhat happy",170,"Junior high school",60
"Central West",53,"Elementary school",40,"Fair",154,"Somewhat happy",170,"Elementary school",40
"Central West",39,"Elementary school",200,"Good",160,"Very happy",172,"Junior high school",200
"Central West",33,"Elementary school",100,"Not good",160,"Somewhat happy",178,"Senior high school",100
"Central West",32,"Never attended school",60,"Excellent",161,"Very happy",162,"Elementary school",60
"Central West",50,"Never attended school",40,"Good",158,"Somewhat happy",175,"Junior high school",40
"Central West",44,"Never attended school",80,"Excellent",158,"Very happy",182,"Never attended school",80
